Calculating packet loss...
8 8 11 
6 7 10 
8 11 11 
14 10 12 
12 11 9 
11 7 8 
15 15 12 
15 15 15 
22 29 25 
6 8 8 
10 7 13 
9 10 7 
12 8 10 
3 4 7 
5 7 5 
8 8 5 
5 6 5 
9 5 4 
5 4 5 
12 9 7 
13 10 14 
22 20 26 
5 6 6 
6 5 4 
6 4 9 
7 6 6 
30 18 21 
23 23 26 
19 28 23 
14 28 16 
20 14 15 
16 14 14 
22 22 15 
22 21 23 
24 28 30 
17 18 28 
26 16 21 
17 11 21 
18 14 13 
