Calculating packet loss...
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
84 84 85 
83 87 85 
85 81 81 
83 86 85 
79 80 81 
72 63 77 
70 71 68 
65 62 69 
67 57 45 
81 82 78 
70 73 63 
53 57 53 
68 71 69 
87 86 84 
84 84 86 
85 85 84 
85 84 87 
85 85 86 
85 86 88 
86 80 86 
87 86 83 
84 84 83 
85 85 86 
90 89 86 
82 86 85 
88 88 84 
